titleId,title,averageRating,numVotes,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,captured
tt0015724,Dama de noche,6.2,19.0,Dama de noche,Dama de noche,0.0,1993,102,"Drama,Mystery,Romance",1
tt0053295,Sonnensucher,6.5,112.0,Sonnensucher,Sonnensucher,0.0,1972,116,Drama,1
tt0054724,Zombie,3.2,1070.0,I Eat Your Skin,Zombie,0.0,1971,92,Horror,1
tt0057461,La rosa de los vientos,4.6,11.0,La rosa de los vientos,La rosa de los vientos,0.0,1983,84,\N,1
tt0058950,Biya el-Khawatim,7.0,107.0,"Auliban, the Seller of Rings",Biya el-Khawatim,0.0,1973,95,"Comedy,Musical",1
tt0058994,Lung men bei chi,5.4,117.0,Bruce's Deadly Fingers,Lung men bei chi,0.0,1976,91,"Action,Crime,Drama",0
tt0086397,The Survivors,5.8,4090.0,The Survivors,The Survivors,0.0,1983,103,"Comedy,Crime,Drama",0
tt0086398,Svarta fåglar,4.4,10.0,Black Crows,Svarta fåglar,0.0,1983,90,"Drama,Romance",0
tt0086402,System ohne Schatten,6.4,71.0,Closed Circuit,System ohne Schatten,0.0,1983,114,"Drama,Thriller",0
tt0086403,Szerencsés Dániel,6.8,174.0,Szerencsés Dániel,Szerencsés Dániel,0.0,1983,87,"Comedy,Drama,Thriller",0
tt0086404,Szeretök,6.8,21.0,Afternoon Affair,Szeretök,0.0,1984,84,Drama,0
tt0086405,Table for Five,6.3,601.0,Table for Five,Table for Five,0.0,1983,122,"Drama,Romance",0
tt0086407,Tayna chyornykh drozdov,6.6,174.0,Tayna chyornykh drozdov,Tayna chyornykh drozdov,0.0,1983,97,"Crime,Mystery",0
tt0086408,Huang di bao zhong,7.0,6.0,Huang di bao zhong,Huang di bao zhong,0.0,1983,\N,"Comedy,Romance",0
tt0086409,Taking Tiger Mountain,6.1,77.0,Taking Tiger Mountain,Taking Tiger Mountain,0.0,1983,81,Sci-Fi,0
tt0086410,Storie di ordinaria follia,6.9,2142.0,Tales of Ordinary Madness,Storie di ordinaria follia,0.0,1981,101,Drama,0
tt0086411,Talisman,6.6,19.0,Talisman,Talisman,0.0,1983,63,Family,0
tt0086412,Il tassinaro,5.9,370.0,Il tassinaro,Il tassinaro,0.0,1983,\N,"Comedy,Drama",0
tt0086420,Tchao pantin,7.4,2153.0,"So Long, Stooge",Tchao pantin,0.0,1983,100,"Crime,Drama",0
tt0086421,Te rongyos élet,7.5,304.0,"Oh, Bloody Life",Te rongyos élet,0.0,1984,108,"Comedy,Drama",0
tt0086422,Tell Me That You Love Me,4.3,36.0,Tell Me That You Love Me,Tell Me That You Love Me,0.0,1983,91,"Comedy,Drama",0
tt0086423,Tender Mercies,7.4,8248.0,Tender Mercies,Tender Mercies,0.0,1983,92,"Drama,Music",0
tt0086424,Tendre adolescente,4.0,13.0,Tendre adolescente,Tendre adolescente,0.0,1986,83,Drama,0
tt0086425,Terms of Endearment,7.4,47989.0,Terms of Endearment,Terms of Endearment,0.0,1983,132,"Comedy,Drama",0
tt0086428,El tesoro de la diosa blanca,3.3,469.0,Diamonds of Kilimandjaro,El tesoro de la diosa blanca,0.0,1983,83,"Action,Adventure,Horror",0
tt0086429,Testament,7.1,5156.0,Testament,Testament,0.0,1983,90,Drama,0
tt0086434,Thunder,5.6,373.0,Thunder,Thunder,0.0,1983,86,"Action,Crime,Drama",0
tt0086438,"Il tifoso, l'arbitro e il calciatore",5.7,195.0,"Il tifoso, l'arbitro e il calciatore","Il tifoso, l'arbitro e il calciatore",0.0,1984,93,Comedy,0
tt0086440,De tijd,7.5,24.0,Time,De tijd,0.0,1983,46,"Documentary,Music",0
tt0086442,A Time to Die,4.1,201.0,A Time to Die,A Time to Die,0.0,1982,91,"Crime,Drama",0
tt0086443,Timerider: The Adventure of Lyle Swann,5.4,1760.0,Timerider: The Adventure of Lyle Swann,Timerider: The Adventure of Lyle Swann,0.0,1982,94,"Action,Adventure,Sci-Fi",0
tt0086444,Timocka buna,6.8,76.0,Timocka buna,Timocka buna,0.0,1983,114,"Drama,History",0
tt0086445,Tin Man,6.1,79.0,Tin Man,Tin Man,0.0,1983,89,Drama,0
tt0086446,Ting bu liao de ai,5.6,27.0,Everlasting Love,Ting bu liao de ai,0.0,1984,97,"Drama,Romance",0
tt0086447,Tisícrocná vcela,8.1,462.0,The Millennial Bee,Tisícrocná vcela,0.0,1983,162,"Comedy,Drama,War",0
tt0086449,To All a Goodnight,4.8,926.0,To All a Goodnight,To All a Goodnight,0.0,1980,87,"Horror,Mystery,Thriller",0
tt0086450,To Be or Not to Be,6.8,9253.0,To Be or Not to Be,To Be or Not to Be,0.0,1983,107,Comedy,0
tt0086455,Todo un hombre,6.2,19.0,A Real Man,Todo un hombre,0.0,1983,89,"Drama,Romance,Western",0
tt0086456,Toki o kakeru shôjo,6.7,414.0,The Little Girl Who Conquered Time,Toki o kakeru shôjo,0.0,1983,104,"Romance,Sci-Fi",0
tt0086459,Tornado,5.3,183.0,The Last Blood,Tornado,0.0,1983,90,"Action,War",0
tt0086460,Touched,5.7,89.0,Touched,Touched,0.0,1983,93,"Drama,Romance",0
tt0086461,Tough Enough,5.5,669.0,Tough Enough,Tough Enough,0.0,1983,106,"Action,Drama,Romance",0
tt0086462,Patsany,7.5,257.0,Patsany,Patsany,0.0,1983,96,"Crime,Drama",0
tt0086463,La trace,7.2,43.0,The Trail,La trace,0.0,1983,103,Drama,0
tt0086465,Trading Places,7.5,119689.0,Trading Places,Trading Places,0.0,1983,116,Comedy,0
tt0086466,La tragédie de Carmen,8.3,32.0,La tragédie de Carmen,La tragédie de Carmen,0.0,1983,80,"Drama,Musical",0
tt0086468,TransAtlantique,7.6,7.0,TransAtlantique,TransAtlantique,0.0,1983,\N,Drama,0
tt0086470,Trauma,7.0,37.0,Trauma,Trauma,0.0,1983,89,Thriller,0
tt0086474,Treasure of the Lost Desert,3.6,16.0,Treasure of the Lost Desert,Treasure of the Lost Desert,0.0,1984,\N,\N,0
tt0086476,Trenchcoat,5.2,414.0,Trenchcoat,Trenchcoat,0.0,1983,91,"Comedy,Mystery,Thriller",0
tt0086477,Tri veteráni,7.9,884.0,The Three Veterans,Tri veteráni,0.0,1984,96,"Adventure,Comedy,Family",0
tt0086478,Trial by Terror,5.3,22.0,Trial by Terror,Trial by Terror,0.0,1983,90,Thriller,0
tt0086479,Tricheurs,6.2,221.0,Tricheurs,Tricheurs,0.0,1984,94,Drama,0
tt0086480,Troe na shosse,6.2,10.0,Troe na shosse,Troe na shosse,0.0,1983,89,Drama,0
tt0086482,Truhanes,6.2,105.0,Truhanes,Truhanes,0.0,1983,100,Comedy,0
tt0086483,Tu mi turbi,6.7,509.0,You Disturb Me,Tu mi turbi,0.0,1983,96,Comedy,0
tt0086484,Tuareg - Il guerriero del deserto,5.4,360.0,Tuareg: The Desert Warrior,Tuareg - Il guerriero del deserto,0.0,1984,95,"Action,Adventure",0
tt0086485,Tui xiu tan chang,5.4,5.0,Tui xiu tan chang,Tui xiu tan chang,0.0,1983,101,\N,0
tt0086486,La tumba de los muertos vivientes,2.5,2002.0,Oasis of the Zombies,La tumba de los muertos vivientes,0.0,1982,82,Horror,0
tt0086488,Två killar och en tjej,5.3,258.0,Två killar och en tjej,Två killar och en tjej,0.0,1983,111,"Comedy,Romance",0
tt0086489,Twice Upon a Time,7.1,966.0,Twice Upon a Time,Twice Upon a Time,0.0,1983,74,"Action,Adventure,Animation",0
tt0086490,Twilight Time,6.1,152.0,Twilight Time,Twilight Time,0.0,1982,102,Drama,0
tt0086491,Twilight Zone: The Movie,6.5,29502.0,Twilight Zone: The Movie,Twilight Zone: The Movie,0.0,1983,101,"Horror,Sci-Fi",0
tt0086494,Two of a Kind,4.8,3540.0,Two of a Kind,Two of a Kind,0.0,1983,88,"Comedy,Fantasy,Romance",0
tt0086495,U bent mijn moeder,8.0,23.0,U bent mijn moeder,U bent mijn moeder,0.0,1984,77,\N,0
tt0086497,Utu,7.1,784.0,Utu,Utu,0.0,1983,118,"Adventure,Drama,History",0
tt0086498,De uanstændige,5.1,183.0,Topsy Turvy,De uanstændige,0.0,1983,92,"Comedy,Drama",0
tt0086499,Uchenik lekarya,7.0,49.0,The Doctor's Pupil,Uchenik lekarya,0.0,1984,70,"Comedy,Family,History",0
tt0086500,Udenrigskorrespondenten,5.4,22.0,Haiti Express,Udenrigskorrespondenten,0.0,1983,105,\N,0
tt0086501,Ultra Flesh,6.0,120.0,Ultra Flesh,Ultra Flesh,1.0,1980,88,"Adult,Comedy,Sci-Fi",0
tt0086502,Nihonkai daikaisen: Umi yukaba,7.0,16.0,Battle Anthem,Nihonkai daikaisen: Umi yukaba,0.0,1983,131,"Drama,War",0
tt0086504,Un homme à ma taille,5.1,37.0,Un homme à ma taille,Un homme à ma taille,0.0,1983,92,Comedy,0
tt0086505,Un jeu brutal,6.9,229.0,A Brutal Game,Un jeu brutal,0.0,1983,90,Drama,0
tt0086508,Uncommon Valor,6.4,8032.0,Uncommon Valor,Uncommon Valor,0.0,1983,105,"Action,Drama,Thriller",0
tt0086510,Under Fire,7.1,6112.0,Under Fire,Under Fire,0.0,1983,128,"Drama,War",0
tt0086512,Une pierre dans la bouche,5.9,56.0,A Stone in the Mouth,Une pierre dans la bouche,0.0,1983,105,"Comedy,Drama",0
tt0086513,Die unglaublichen Abenteuer des Guru Jakob,3.9,50.0,Die unglaublichen Abenteuer des Guru Jakob,Die unglaublichen Abenteuer des Guru Jakob,0.0,1983,92,Comedy,0
tt0086514,Unguided Tour,7.3,22.0,Letter from Venice,Unguided Tour,0.0,1983,71,Drama,0
tt0086515,Uniko: Mahô no shima e,7.6,366.0,Unico in the Island of Magic,Uniko: Mahô no shima e,0.0,1983,91,"Adventure,Animation,Family",0
tt0086516,Unikum,5.5,52.0,Unikum,Unikum,0.0,1983,90,"Comedy,Sci-Fi",0
tt0086518,Up 'n' Coming,6.5,206.0,Up 'n' Coming,Up 'n' Coming,1.0,1983,86,"Adult,Drama,Music",0
tt0086520,Urusei Yatsura 1: Onri yû,7.0,472.0,Urusei Yatsura: Only You,Urusei Yatsura 1: Onri yû,0.0,1983,101,"Animation,Comedy,Fantasy",0
tt0086522,Utro bez otmetok,6.4,12.0,Utro bez otmetok,Utro bez otmetok,0.0,1983,68,"Comedy,Family",0
tt0086523,Uuno Turhapuron muisti palailee pätkittäin,5.5,763.0,Uuno Turhapuron muisti palailee pätkittäin,Uuno Turhapuron muisti palailee pätkittäin,0.0,1983,90,Comedy,0
tt0086525,Valley Girl,6.4,11539.0,Valley Girl,Valley Girl,0.0,1983,99,"Comedy,Romance",0
tt0086527,Vassa,7.5,202.0,Vassa,Vassa,0.0,1983,140,Drama,0
tt0086531,Veliki transport,6.1,108.0,Veliki transport,Veliki transport,0.0,1983,134,"Action,Drama,War",0
tt0086533,Vénus,5.9,49.0,Vénus,Vénus,0.0,1984,82,Drama,0
tt0086536,Vestida de azul,7.4,37.0,Vestida de azul,Vestida de azul,0.0,1983,96,\N,0
tt0086538,Los viajes de Gulliver,5.3,40.0,Los viajes de Gulliver,Los viajes de Gulliver,0.0,1983,80,"Adventure,Animation,Fantasy",0
tt0086540,Victòria! 2: La disbauxa del 17,6.7,9.0,Victòria! 2: La disbauxa del 17,Victòria! 2: La disbauxa del 17,0.0,1983,\N,History,0
tt0086541,Videodrome,7.3,72464.0,Videodrome,Videodrome,0.0,1983,87,"Horror,Sci-Fi,Thriller",0
tt0086542,La vie est un roman,6.5,735.0,Life Is a Bed of Roses,La vie est un roman,0.0,1983,110,"Comedy,Drama,Musical",0
tt0086543,De vierde man,7.3,6212.0,The 4th Man,De vierde man,0.0,1983,102,"Drama,Mystery,Thriller",0
tt0086546,La ville des pirates,7.3,622.0,City of Pirates,La ville des pirates,0.0,1983,111,"Drama,Fantasy",0
tt0086548,Razza violenta,4.0,102.0,The Violent Breed,Razza violenta,0.0,1984,91,Action,0
